Title,Date,Title_Cleaned_For_API,tmdb_id,tmdb_title,tmdb_original_title,tmdb_overview,tmdb_genres,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,tmdb_media_type,tmdb_release_date,tmdb_runtime_minutes
La ley de los audaces: Temporada 8: Frustración,2023-12-23,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
"La ley de los audaces: Temporada 8: Gatos, ballet y Harvey Specter",2023-12-23,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
"La ley de los audaces: Temporada 8: Adiós, lodo",2023-12-23,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La gloria: Episodio 14,2023-12-22,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
La gloria: Episodio 13,2023-12-22,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
Sexo/Vida: Temporada 2: Día divino,2023-12-22,Sexo/Vida,126280.0,Sex/Life,Sex/Life,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.,Drama,28.099,7.071,1337.0,tv,2021-06-25,0.0
Sexo/Vida: Temporada 2: El futuro empieza hoy,2023-12-22,Sexo/Vida,126280.0,Sex/Life,Sex/Life,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.,Drama,28.099,7.071,1337.0,tv,2021-06-25,0.0
Sexo/Vida: Temporada 2: Mi debilidad,2023-12-22,Sexo/Vida,126280.0,Sex/Life,Sex/Life,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.,Drama,28.099,7.071,1337.0,tv,2021-06-25,0.0
Sexo/Vida: Temporada 2: Temporadas de amor,2023-12-22,Sexo/Vida,126280.0,Sex/Life,Sex/Life,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.,Drama,28.099,7.071,1337.0,tv,2021-06-25,0.0
La gloria: Episodio 12,2023-12-22,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
